,snapshot_year,renewable_lower,demand_scenario,reduction,nuclear_option,ll_wildcard,h2_demand,onwind,energy_selfconsumption,uuid,discount_rate
2050_eRisk+2030/european_103.0red_disabled_nuclear_dr0.0225_llv1.9_h2+1.33_Co2L-1H-CCL-onwind+p0.25,2050,eRisk+2030,european,103,disabled,v1.9,h2+1.33,onwind+p0.25,,2050eRisk+2030european103.0disabledv1.9h2+1.330.0225onwind+p0.25,0.0225
2050_eRisk+2030/european_103.0red_SMR_nuclear_dr0.0225_llv1.9_h2+1.33_Co2L-1H-CCL-onwind+p0.25,2050,eRisk+2030,european,103,SMR,v1.9,h2+1.33,onwind+p0.25,,2050eRisk+2030european103.0SMRv1.9h2+1.330.0225onwind+p0.25,0.0225
2050_eRisk+2030/international_120.0red_centralized_medium_nuclear_dr0.0225_llv1.75_h2+0.0_Co2L-1H-CCL-onwind+p0.25,2050,eRisk+2030,international,120,centralized_medium,v1.75,h2+0.0,onwind+p0.25,,2050eRisk+2030international120.0centralized_mediumv1.75h2+0.00.0225onwind+p0.25,0.0225
2050_eRisk+2030/international_120.0red_disabled_nuclear_dr0.0225_llv1.75_h2+0.0_Co2L-1H-CCL-onwind+p0.25,2050,eRisk+2030,international,120,disabled,v1.75,h2+0.0,onwind+p0.25,,2050eRisk+2030international120.0disabledv1.75h2+0.00.0225onwind+p0.25,0.0225
2050_eRisk+2030/international_120.0red_SMR_nuclear_dr0.0225_llv1.75_h2+0.0_Co2L-1H-CCL-onwind+p0.25,2050,eRisk+2030,international,120,SMR,v1.75,h2+0.0,onwind+p0.25,,2050eRisk+2030international120.0SMRv1.75h2+0.00.0225onwind+p0.25,0.0225
2070_greenfield/national_120.0red_disabled_nuclear_dr0.0225_llv2.25_h2+2.5_Co2L-1H-CCL-onwind+p0.25,2070,greenfield,national,120,disabled,v2.25,h2+2.5,onwind+p0.25,,2070greenfieldnational120.0disabledv2.25h2+2.50.0225onwind+p0.25,0.0225
2070_greenfield/national_120.0red_fusion+EVERYWHERE_nuclear_dr0.0225_llv2.25_h2+2.5_Co2L-1H-CCL-onwind+p0.25,2070,greenfield,national,120,fusion+EVERYWHERE,v2.25,h2+2.5,onwind+p0.25,,2070greenfieldnational120.0fusion+EVERYWHEREv2.25h2+2.50.0225onwind+p0.25,0.0225
2070_greenfield/national_120.0red_SMR+EVERYWHERE_nuclear_dr0.0225_llv2.25_h2+2.5_Co2L-1H-CCL-onwind+p0.25,2070,greenfield,national,120,SMR+EVERYWHERE,v2.25,h2+2.5,onwind+p0.25,,2070greenfieldnational120.0SMR+EVERYWHEREv2.25h2+2.50.0225onwind+p0.25,0.0225
2070_greenfield/national_120.0red_SMR_nuclear_dr0.0225_llv2.25_h2+2.5_Co2L-1H-CCL-onwind+p0.25,2070,greenfield,national,120,SMR,v2.25,h2+2.5,onwind+p0.25,,2070greenfieldnational120.0SMRv2.25h2+2.50.0225onwind+p0.25,0.0225
2040_eRisk+2035/national_100.0red_centralized_high_nuclear_dr0.0225_llv1.5_h2+1.33_Co2L-1H-CCL-onwind+p0.3,2040,rotterdam,national,100,centralized_high,v1.5,h2+1.33,onwind+p0.3,,2040eRisk+2035national100.0centralized_highv1.5h2+1.330.0225onwind+p0.3,0.0225
2050_eRisk+2035/national_103.0red_centralized_high_nuclear_dr0.0225_llv1.75_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,rotterdam,national,103,centralized_high,v1.75,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0centralized_highv1.75h2+1.50.0225onwind+p0.3,0.0225
2040_eRisk+2035/national_100.0red_centralized_high_nuclear_dr0.0225_llv1.0_h2+1.33_Co2L-1H-CCL-onwind+p0.3,2040,rotterdam,national,100,centralized_high,v1.0,h2+1.33,onwind+p0.3,,2040eRisk+2035national100.0centralized_highv1.0h2+1.330.0225onwind+p0.3,0.0225
2050_eRisk+2035/national_103.0red_centralized_high_nuclear_dr0.0225_llv1.0_h2+1.5_Co2L-1H-CCL-onwind+p0.3,2050,rotterdam,national,103,centralized_high,v1.0,h2+1.5,onwind+p0.3,,2050eRisk+2035national103.0centralized_highv1.0h2+1.50.0225onwind+p0.3,0.0225
